Q1_性别,Q2_身高（厘米）,Q3_体重 （公斤）,Q4_头发长度（厘米）
男,190,70,7
女,160,45,20
男,179,61,5
女,173,60,50
男,175,70,15
女,162,53,30
男,170,80,5
男,168,55,5
男,175,65,4
男,175,70,4
女,158,47,50
男,180,68,3
男,180,75,5
女,160,49,20
男,167,60,12
女,160,49,40
男,175,66,15
男,188,70,15
男,171,63,10
男,175,75,10
男,172,65,3
女,160,52,50
男,181,76,12
男,175,60,100
男,172,59,5
男,173,61,3
男,170,60,7
男,180,58,5
女,169,55,30
女,180,64,50
女,160,50,40
男,172,62,3
男,178,70,6
男,178,70,10
男,174,120,10
男,249,199,178
男,185,60,15
女,100,199,198
女,163,56,30
男,171,75,3
男,173,65,5
女,169,54,22
男,172,72,3
